fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,10,0.12,0.6317460317460317,0.9245283018867925,0.7029013539651837,0.8095238095238095,0.9245283018867925,3,53,7,7,41,15
1,10,0.12,0.5263157894736842,0.6089743589743589,0.5461988304093567,0.8571428571428571,0.6089743589743589,0,52,11,1,43,19
2,10,0.12,0.576923076923077,0.5833333333333334,0.5671957671957671,0.8253968253968254,0.5833333333333334,0,44,19,4,33,26
3,10,0.12,0.5,0.5510204081632653,0.48559670781893,0.7301587301587301,0.5510204081632653,0,49,14,3,32,28
4,10,0.12,0.923076923076923,0.979591836734694,0.945995423340961,0.9523809523809523,0.979591836734694,4,49,10,4,46,13
5,10,0.12,0.8659003831417623,0.6606060606060606,0.7312824834948728,0.9206349206349206,0.6606060606060606,4,55,4,2,58,3
6,10,0.12,0.3742690058479532,0.41723356009070295,0.3941299790356394,0.746031746031746,0.41723356009070295,8,49,6,0,57,6
7,10,0.12,0.7001763668430335,0.5326530612244899,0.5854432387841868,0.7619047619047619,0.5326530612244899,4,49,10,2,54,7
8,10,0.12,0.6916666666666668,0.5303983228511531,0.5825224724307293,0.8253968253968254,0.5303983228511531,4,53,6,2,56,5
9,10,0.12,0.5501165501165501,0.5359477124183006,0.5425636696214999,0.8888888888888888,0.5359477124183006,0,51,12,0,52,11
10,10,0.12,0.5238095238095238,0.6303030303030303,0.5565268065268065,0.9047619047619048,0.6303030303030303,0,55,8,0,49,14
11,10,0.12,0.5238095238095238,0.6303030303030303,0.5565268065268065,0.9047619047619048,0.6303030303030303,0,55,8,0,49,14
12,10,0.12,0.625,0.6488095238095238,0.635270132517839,0.9523809523809523,0.6488095238095238,7,56,0,8,53,2
13,10,0.12,0.5333333333333333,0.6296296296296297,0.5637254901960784,0.9047619047619048,0.6296296296296297,9,54,0,15,48,0
14,10,0.12,0.5194444444444445,0.5675990675990676,0.5374358974358975,0.873015873015873,0.5675990675990676,11,52,0,15,48,0
15,10,0.12,0.7185185185185184,0.8313069908814589,0.7634182908545727,0.8095238095238095,0.8313069908814589,14,47,2,15,45,3
16,10,0.12,0.7821350762527234,0.8407029478458051,0.7955555555555556,0.873015873015873,0.8407029478458051,12,49,2,9,51,3
17,10,0.12,0.667233560090703,0.6941176470588234,0.6787878787878787,0.8412698412698413,0.6941176470588234,10,51,2,12,49,2
18,10,0.12,0.3333333333333333,0.328042328042328,0.33066666666666666,0.9841269841269841,0.328042328042328,0,63,0,1,62,0
19,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
20,10,0.12,0.6551724137931035,0.5714285714285715,0.6052631578947368,0.9682539682539683,0.5714285714285715,7,56,0,5,58,0
21,10,0.12,0.6551724137931035,0.5714285714285715,0.6052631578947368,0.9682539682539683,0.5714285714285715,7,56,0,5,58,0
22,10,0.12,0.6549707602339181,0.5654761904761905,0.6022615535889871,0.9523809523809523,0.5654761904761905,7,56,0,5,57,1
23,10,0.12,0.47222222222222227,0.6264367816091955,0.5080050368771362,0.8888888888888888,0.6264367816091955,0,58,5,0,51,12
24,10,0.12,0.5,0.6379310344827586,0.5405405405405405,0.9206349206349206,0.6379310344827586,0,58,5,0,53,10
25,10,0.12,0.6502732240437158,0.4666666666666666,0.5154061624649859,0.9523809523809523,0.4666666666666666,0,58,5,0,61,2
26,10,0.12,0.6296296296296297,0.6606060606060606,0.6440007195538766,0.9841269841269841,0.6606060606060606,8,55,0,9,54,0
27,10,0.12,0.6296296296296297,0.6606060606060606,0.6440007195538766,0.9841269841269841,0.6606060606060606,8,55,0,9,54,0
28,10,0.12,0.6190476190476191,0.6535947712418301,0.6343589743589744,0.9682539682539683,0.6535947712418301,12,51,0,14,49,0
29,10,0.12,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,4,59,0,4,59,0
30,10,0.12,0.743939393939394,0.8157894736842105,0.7658730158730159,0.9365079365079365,0.8157894736842105,4,57,2,4,55,4
31,10,0.12,0.5702614379084968,0.725,0.6215352663950794,0.8571428571428571,0.725,5,56,2,8,51,4
32,10,0.12,0.5544401544401544,0.672463768115942,0.5825205584241728,0.7301587301587301,0.672463768115942,15,46,2,21,37,5
33,10,0.12,0.5693581780538303,0.8562647754137117,0.6074739694765369,0.746031746031746,0.8562647754137117,15,47,1,23,35,5
34,10,0.12,0.6989664082687339,0.8111111111111112,0.7405927405927407,0.8253968253968254,0.8111111111111112,10,48,5,12,43,8
35,10,0.12,0.46913580246913583,0.5263157894736842,0.49009009009009014,0.8888888888888888,0.5263157894736842,0,57,6,0,54,9
36,10,0.12,0.9830508474576272,0.7000000000000001,0.7968599033816425,0.9523809523809523,0.7000000000000001,2,56,5,1,59,3
37,10,0.12,0.43333333333333335,0.6555555555555556,0.48888888888888893,0.9365079365079365,0.6555555555555556,2,60,1,0,60,3
38,10,0.12,0.7327586206896551,0.7327586206896551,0.5827586206896552,0.9047619047619048,0.7327586206896551,4,58,1,1,58,4
39,10,0.12,0.8191358024691358,0.7091503267973857,0.7535353535353536,0.8888888888888888,0.7091503267973857,6,51,6,4,54,5
40,10,0.12,0.8863636363636364,0.7156862745098039,0.781132075471698,0.9047619047619048,0.7156862745098039,6,51,6,4,55,4
41,10,0.12,0.7866876310272537,0.7866876310272537,0.7866876310272537,0.9047619047619048,0.7866876310272537,4,53,6,4,53,6
42,10,0.12,0.32786885245901637,0.3225806451612903,0.3252032520325203,0.9523809523809523,0.3225806451612903,0,62,1,0,61,2
43,10,0.12,0.32786885245901637,0.3225806451612903,0.3252032520325203,0.9523809523809523,0.3225806451612903,0,62,1,0,61,2
44,10,0.12,0.5555555555555555,0.6424242424242425,0.5874213836477987,0.9365079365079365,0.6424242424242425,8,55,0,12,51,0
45,10,0.12,0.5238095238095238,0.6303030303030303,0.5565268065268065,0.9047619047619048,0.6303030303030303,8,55,0,14,49,0
46,10,0.12,0.5238095238095238,0.6121212121212122,0.5460546054605461,0.8571428571428571,0.6121212121212122,8,55,0,14,46,3
47,10,0.12,0.3333333333333333,0.31746031746031744,0.3252032520325203,0.9523809523809523,0.31746031746031744,0,63,0,0,60,3
48,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
49,10,0.12,0.48360655737704916,0.4110169491525424,0.43333333333333335,0.9365079365079365,0.4110169491525424,0,59,4,0,61,2
50,10,0.12,0.6397849462365591,0.3888888888888889,0.41456582633053224,0.9206349206349206,0.3888888888888889,0,57,6,0,62,1
51,10,0.12,0.5333333333333333,0.43859649122807015,0.4672364672364672,0.9206349206349206,0.43859649122807015,0,57,6,0,60,3
52,10,0.12,0.6608187134502924,0.4726775956284153,0.5386064030131826,0.9047619047619048,0.4726775956284153,0,61,2,5,57,1
53,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
54,10,0.12,0.3333333333333333,0.30687830687830686,0.31955922865013775,0.9206349206349206,0.30687830687830686,0,63,0,5,58,0
55,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
56,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
57,10,0.12,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0,63,0,0,63,0
