fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,21,0.15,0.721981721981722,0.7327777777777778,0.7242587856398598,0.7777777777777778,0.7327777777777778,8,25,30,9,21,33
1,21,0.15,0.5486815415821501,0.5499999999999999,0.5491990846681922,0.8253968253968254,0.5499999999999999,0,28,35,0,29,34
2,21,0.15,0.6333333333333333,0.6240031897926634,0.6284036845834599,0.9523809523809523,0.6240031897926634,0,19,44,0,18,45
3,21,0.15,0.7992063492063491,0.918552036199095,0.8379416282642089,0.873015873015873,0.918552036199095,3,34,26,5,28,30
4,21,0.15,0.8656126482213439,0.942857142857143,0.8928626070991431,0.9047619047619048,0.942857142857143,8,35,20,11,29,23
5,21,0.15,0.8166666666666668,0.9285714285714285,0.8522558922558922,0.8571428571428571,0.9285714285714285,8,42,13,10,33,20
6,21,0.15,0.7743677181017334,0.7773448773448773,0.7756843800322062,0.7619047619047619,0.7773448773448773,6,35,22,6,34,23
7,21,0.15,0.8393341076267905,0.8254985754985755,0.8286819563415309,0.7619047619047619,0.8254985754985755,1,36,26,1,41,21
8,21,0.15,0.808187134502924,0.7299843014128728,0.740041928721174,0.8095238095238095,0.7299843014128728,1,49,13,1,57,5
9,21,0.15,0.5968218773096822,0.5968218773096822,0.5968218773096822,0.9047619047619048,0.5968218773096822,0,41,22,0,41,22
10,21,0.15,0.6060606060606061,0.637037037037037,0.6178294573643411,0.9365079365079365,0.637037037037037,0,45,18,0,41,22
11,21,0.15,0.6060606060606061,0.637037037037037,0.6178294573643411,0.9365079365079365,0.637037037037037,0,45,18,0,41,22
12,21,0.15,0.6407407407407407,0.6407407407407407,0.6407407407407407,0.9682539682539683,0.6407407407407407,18,45,0,18,45,0
13,21,0.15,0.5665188470066519,0.577906976744186,0.5714285714285715,0.873015873015873,0.577906976744186,20,43,0,22,41,0
14,21,0.15,0.8888888888888888,0.9010989010989011,0.8933333333333334,0.8571428571428571,0.9010989010989011,21,39,3,24,36,3
15,21,0.15,0.9150019584802194,0.919457735247209,0.9170370370370371,0.8888888888888888,0.919457735247209,22,38,3,23,37,3
16,21,0.15,0.9661959777492511,0.9583333333333334,0.9620132953466287,0.9523809523809523,0.9583333333333334,20,40,3,19,41,3
17,21,0.15,0.6415470494417863,0.6415470494417863,0.6415470494417863,0.9682539682539683,0.6415470494417863,19,44,0,19,44,0
18,21,0.15,0.3333333333333333,0.32275132275132273,0.3279569892473118,0.9682539682539683,0.32275132275132273,0,63,0,2,61,0
19,21,0.15,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,6,57,0,6,57,0
20,21,0.15,0.5925925925925926,0.5170068027210885,0.5425636696214999,0.8888888888888888,0.5170068027210885,14,49,0,9,54,0
