fold,T,X,precision,recall,f1,accuracy,balanced_accuracy,y_true_-1,y_true_0,y_true_1,y_pred_-1,y_pred_0,y_pred_1
0,14,0.12,0.5434626436781609,0.5395299145299145,0.5364514128797945,0.7936507936507936,0.5395299145299145,0,39,24,2,32,29
1,14,0.12,0.5941558441558442,0.5785714285714286,0.5807962529274004,0.8571428571428571,0.5785714285714286,0,35,28,2,28,33
2,14,0.12,0.5375375375375375,0.5555555555555555,0.5385210994967092,0.8095238095238095,0.5555555555555555,0,45,18,2,37,24
3,14,0.12,0.7756892230576441,0.9105691056910569,0.8133930393957951,0.8253968253968254,0.9105691056910569,9,41,13,14,30,19
4,14,0.12,0.7857142857142857,0.9318181818181818,0.8340059927841986,0.8571428571428571,0.9318181818181818,9,44,10,14,35,14
5,14,0.12,0.7047466422466423,0.7587669683257919,0.7204411307859583,0.7142857142857143,0.7587669683257919,13,34,16,16,26,21
6,14,0.12,0.817948717948718,0.6764946764946765,0.7175925925925926,0.746031746031746,0.6764946764946765,4,37,22,2,35,26
7,14,0.12,0.7945736434108527,0.6861702127659575,0.7037037037037037,0.7777777777777778,0.6861702127659575,4,47,12,2,43,18
8,14,0.12,0.6253196930946291,0.6064593301435407,0.6148148148148148,0.9365079365079365,0.6064593301435407,0,44,19,0,46,17
9,14,0.12,0.6041666666666666,0.6466666666666666,0.6218746296954616,0.9523809523809523,0.6466666666666666,0,50,13,0,47,16
10,14,0.12,0.6041666666666666,0.6466666666666666,0.6218746296954616,0.9523809523809523,0.6466666666666666,0,50,13,0,47,16
11,14,0.12,0.6388888888888888,0.6410256410256411,0.638840579710145,0.9365079365079365,0.6410256410256411,11,52,0,12,48,3
12,14,0.12,0.6111111111111112,0.6458333333333334,0.6256109481915934,0.9523809523809523,0.6458333333333334,15,48,0,18,45,0
13,14,0.12,0.591869918699187,0.6035805626598466,0.5948016982499741,0.8888888888888888,0.6035805626598466,17,46,0,20,41,2
14,14,0.12,0.7174603174603175,0.8833333333333333,0.7608672086720868,0.8253968253968254,0.8833333333333333,20,40,3,21,35,7
15,14,0.12,0.7606589147286821,0.8787878787878788,0.7663830422451112,0.8571428571428571,0.8787878787878788,16,44,3,12,43,8
16,14,0.12,0.8592592592592593,0.9616977225672878,0.89333197666531,0.9523809523809523,0.9616977225672878,14,46,3,13,45,5
17,14,0.12,0.3333333333333333,0.31746031746031744,0.3252032520325203,0.9523809523809523,0.31746031746031744,0,63,0,0,60,3
18,14,0.12,0.3333333333333333,0.328042328042328,0.33066666666666666,0.9841269841269841,0.328042328042328,0,63,0,0,62,1
19,14,0.12,0.611111111111111,0.5693473193473193,0.5874213836477987,0.9365079365079365,0.5693473193473193,11,52,0,9,54,0
20,14,0.12,0.611111111111111,0.5693473193473193,0.5874213836477987,0.9365079365079365,0.5693473193473193,11,52,0,9,54,0
21,14,0.12,0.943355119825708,0.9022881880024737,0.9199999999999999,0.9365079365079365,0.9022881880024737,11,49,3,9,51,3
22,14,0.12,0.5864197530864198,0.6128787878787879,0.5986688253282965,0.9523809523809523,0.6128787878787879,0,55,8,0,54,9
23,14,0.12,0.6071428571428571,0.5772727272727273,0.5909909909909911,0.9523809523809523,0.5772727272727273,0,55,8,0,56,7
24,14,0.12,0.5496031746031745,0.5827586206896552,0.5640616693248273,0.9365079365079365,0.5827586206896552,0,58,5,1,56,6
25,14,0.12,0.6087179487179487,0.6258169934640523,0.6167656765676567,0.9523809523809523,0.6258169934640523,12,51,0,13,50,0
26,14,0.12,0.6602564102564102,0.6388888888888888,0.6489376670887858,0.9841269841269841,0.6388888888888888,12,51,0,11,52,0
27,14,0.12,0.6407407407407407,0.6407407407407407,0.6407407407407407,0.9682539682539683,0.6407407407407407,18,45,0,18,45,0
28,14,0.12,0.9523809523809524,0.9940476190476191,0.9713559713559713,0.9841269841269841,0.9940476190476191,6,56,1,7,55,1
29,14,0.12,0.8435374149659864,0.8847619047619047,0.8622858622858623,0.9206349206349206,0.8847619047619047,6,50,7,7,49,7
30,14,0.12,0.7833333333333333,0.8216818642350557,0.7951903169294473,0.873015873015873,0.8216818642350557,9,47,7,12,45,6
31,14,0.12,0.7976190476190476,0.78125,0.7866061712683745,0.873015873015873,0.78125,25,32,6,28,30,5
32,14,0.12,0.8087301587301589,0.924803591470258,0.8493265993265994,0.8888888888888888,0.924803591470258,27,33,3,28,30,5
33,14,0.12,0.9007384772090655,0.9351851851851851,0.9146210596914822,0.9206349206349206,0.9351851851851851,18,36,9,17,35,11
34,14,0.12,0.600891861761427,0.6266666666666666,0.611111111111111,0.873015873015873,0.6266666666666666,2,50,11,4,46,13
35,14,0.12,0.7666666666666666,0.9551282051282052,0.796457837694951,0.8888888888888888,0.9551282051282052,3,52,8,10,45,8
36,14,0.12,0.6190476190476191,0.9532163742690059,0.7081761006289309,0.873015873015873,0.9532163742690059,3,57,3,7,49,7
37,14,0.12,0.7013888888888888,0.7066666666666667,0.5660910518053375,0.746031746031746,0.7066666666666667,10,50,3,3,48,12
38,14,0.12,0.7943567670970827,0.737984496124031,0.7222222222222222,0.7777777777777778,0.737984496124031,10,43,10,5,41,17
39,14,0.12,0.8368253968253968,0.6844961240310078,0.7375342610162345,0.8253968253968254,0.6844961240310078,10,43,10,6,50,7
40,14,0.12,0.7496296296296295,0.6651295564339043,0.6986111111111111,0.8412698412698413,0.6651295564339043,6,46,11,4,50,9
